,period,price,number
626,20231007262,14993,3
627,20231007261,14981,1
628,20231007260,14969,9
629,20231007259,14949,9
630,20231007248,14881,1
631,20231007247,14882,2
632,20231007246,14877,7
633,20231007245,14870,0
634,20231007244,14882,2
635,20231007243,14876,6
636,20231007232,14822,2
637,20231007231,14842,2
638,20231007230,14841,1
639,20231007229,14832,2
640,20231007238,14766,6
641,20231007237,14758,8
642,20231007236,14772,2
643,20231007235,14771,1
644,20231007224,14770,0
645,20231007223,14788,8
646,20231007222,14794,4
647,20231007221,14822,2
648,20231007220,14826,6
649,20231007219,14836,6
650,20231007228,14837,7
651,20231007227,14802,2
652,20231007226,14788,8
653,20231007225,14762,2
654,20231007214,14816,6
655,20231007213,14789,9
656,20231007212,14794,4
657,20231007211,14813,3
658,20231007210,14790,0
659,20231007209,14786,6
660,20231007218,14818,8
661,20231007217,14793,3
662,20231007216,14816,6
663,20231007215,14792,2
664,20231007204,14723,3
665,20231007203,14698,8
666,20231007202,14717,7
667,20231007201,14732,2
668,20231007200,14759,9
669,20231007199,14763,3
670,20231007208,14799,9
671,20231007207,14773,3
672,20231007206,14759,9
673,20231007205,14739,9
674,20231007194,14743,3
675,20231007193,14754,4
676,20231007192,14757,7
677,20231007191,14776,6
678,20231007190,14740,0
679,20231007189,14751,1
680,20231007198,14758,8
681,20231007197,14734,4
682,20231007196,14756,6
683,20231007195,14766,6
684,20231007184,14761,1
685,20231007183,14738,8
686,20231007182,14727,7
687,20231007181,14691,1
688,20231007180,14686,6
689,20231007179,14708,8
690,20231007188,14757,7
691,20231007187,14761,1
692,20231007186,14788,8
693,20231007185,14766,6
694,20231007184,14761,1
695,20231007183,14738,8
696,20231007172,14706,6
697,20231007171,14696,6
698,20231007170,14677,7
699,20231007169,14702,2
700,20231007178,14713,3
701,20231007177,14719,9
702,20231007176,14729,9
703,20231007175,14702,2
704,20231007174,14718,8
705,20231007163,14739,9
706,20231007162,14729,9
707,20231007161,14721,1
708,20231007160,14729,9
709,20231007159,14706,6
710,20231007168,14696,6
711,20231007167,14707,7
712,20231007166,14684,4
713,20231007165,14713,0
714,20231007154,14702,2
715,20231007153,14717,7
716,20231007152,14734,4
717,20231007151,14738,8
718,20231007150,14718,8
719,20231007149,14681,1
720,20231007158,14702,2
721,20231007157,14688,8
722,20231007156,14693,3
723,20231007155,14690,0
724,20231007144,14726,6
725,20231007143,14726,6
726,20231007142,14736,6
727,20231007141,14746,6
728,20231007140,14772,2
729,20231007139,14756,6
730,20231007148,14700,0
731,20231007147,14719,9
732,20231007146,14711,1
733,20231007145,14730,0
734,20231007144,14726,6
735,20231007143,14726,6
736,20231007142,14736,6
737,20231007141,14746,6
738,20231007140,14704,4
739,20231007129,14716,6
740,20231007138,14750,0
741,20231007137,14766,6
742,20231007136,14759,9
743,20231007135,14722,2
744,20231007124,14704,4
745,20231007123,14728,8
746,20231007122,14717,7
747,20231007121,14739,9
748,20231007120,14761,1
749,20231007119,14767,7
750,20231007128,14711,1
751,20231007127,14704,4
752,20231007126,14701,1
753,20231007125,14688,7
754,20231007114,14757,7
755,20231007113,14784,4
756,20231007112,14796,6
757,20231007111,14803,3
758,20231007110,14824,4
759,20231007109,14826,6
760,20231007118,14738,8
761,20231007117,14754,4
762,20231007116,14754,4
763,20231007115,14787,7
764,20231007114,14757,7
765,20231007113,14784,4
766,20231007112,14796,6
767,20231007111,14803,3
768,20231007110,14824,4
769,20231007099,14734,4
770,20231007108,14794,4
771,20231007107,14773,3
772,20231007106,14748,8
773,20231007105,14746,6
774,20231007104,14733,3
775,20231007103,14721,1
776,20231007102,14747,7
777,20231007101,14727,7
778,20231007100,14703,3
779,20231007099,14734,4
780,20231007098,14756,6
781,20231007097,14751,1
782,20231007096,14778,8
783,20231007095,14794,4
784,20231007084,14788,8
785,20231007083,14801,1
786,20231007082,14808,8
787,20231007081,14828,8
788,20231007080,14843,3
789,20231007079,14839,9
790,20231007088,14811,1
791,20231007087,14805,5
792,20231007086,14804,4
793,20231007085,14803,3
794,20231007074,14824,4
795,20231007073,14826,6
796,20231007072,14826,6
797,20231007071,14806,6
798,20231007070,14808,8
799,20231007069,14829,9
800,20231007078,14848,8
801,20231007077,14824,4
802,20231007076,14847,7
803,20231007075,14859,9
804,20231007074,14824,4
805,20231007073,14826,6
806,20231007072,14826,6
807,20231007071,14806,6
808,20231007070,14808,8
809,20231007069,14829,9
810,20231007078,14848,8
811,20231007077,14824,4
812,20231007076,14847,7
813,20231007075,14859,9
814,20231007054,14863,3
815,20231007053,14833,3
816,20231007052,14864,4
817,20231007051,14861,1
818,20231007050,14871,1
819,20231007049,14893,3
820,20231007068,14850,0
821,20231007067,14867,7
822,20231007066,14831,1
823,20231007065,14822,2
824,20231007064,14836,6
825,20231007043,14982,2
826,20231007042,14996,6
827,20231007041,14964,4
828,20231007040,14946,6
829,20231007039,14919,9
830,20231007048,14906,6
831,20231007047,14928,8
832,20231007046,14911,1
833,20231007045,14938,8
834,20231007044,14964,4
835,20231007043,14982,2
836,20231007042,14996,6
837,20231007031,14949,9
838,20231007030,14943,3
839,20231007029,14928,8
840,20231007038,14928,8
841,20231007037,14904,4
842,20231007036,14891,1
843,20231007035,14905,8
844,20231007024,14967,7
845,20231007023,14988,8
846,20231007022,14976,6
847,20231007021,14958,8
848,20231007020,14939,9
849,20231007019,14967,7
850,20231007028,14931,1
851,20231007027,14957,7
852,20231007026,14948,8
853,20231007025,14978,8
854,20231007014,14993,3
855,20231007013,14985,5
856,20231007012,14993,3
857,20231007011,14978,8
858,20231007010,14959,9
859,20231007009,14925,5
860,20231007018,14983,3
861,20231007017,14973,3
862,20231007016,15003,3
863,20231007015,15024,4
864,20231007014,14993,3
865,20231007003,14959,9
866,20231007002,14981,1
867,20231007001,14979,9
868,20231006480,15287,7
869,20231006479,15318,8
870,20231007008,14913,3
871,20231007007,14935,5
872,20231007006,14942,2
873,20231007005,14946,6
874,20231006474,15277,7
875,20231006473,15243,3
876,20231006472,15227,7
877,20231006471,15197,7
878,20231006470,15161,1
879,20231006469,15161,1
880,20231006478,15307,7
881,20231006477,15328,8
882,20231006476,15309,9
883,20231006475,15282,2
884,20231006474,15277,4
885,20231006463,15149,9
886,20231006462,15121,1
887,20231006461,15139,9
888,20231006460,15158,8
889,20231006459,15146,6
890,20231006468,15179,9
891,20231006467,15146,6
892,20231006466,15144,4
893,20231006465,15139,9
894,20231006454,15156,6
895,20231006453,15183,3
896,20231006452,15208,8
897,20231006451,15188,8
898,20231006450,15176,6
899,20231006449,15197,7
900,20231006458,15121,1
901,20231006457,15134,4
902,20231006456,15129,9
903,20231006455,15147,7
904,20231006454,15156,6
905,20231006453,15183,3
906,20231006452,15208,8
907,20231006451,15188,8
908,20231006450,15176,6
909,20231006449,15197,7
910,20231006458,15121,1
911,20231006457,15134,4
912,20231006456,15129,9
913,20231006455,15147,7
914,20231006454,15156,6
915,20231006453,15183,3
916,20231006452,15208,8
917,20231006451,15188,8
918,20231006450,15176,6
919,20231006429,15286,6
920,20231006448,15184,4
921,20231006447,15189,9
922,20231006446,15211,1
923,20231006445,15193,3
924,20231006444,15199,7
925,20231006423,15230,0
926,20231006422,15246,6
927,20231006421,15237,7
928,20231006420,15243,3
929,20231006419,15252,2
930,20231006428,15279,9
931,20231006427,15241,1
932,20231006426,15243,3
933,20231006425,15226,2
934,20231006414,15289,9
935,20231006413,15314,4
936,20231006412,15285,5
937,20231006411,15299,9
938,20231006410,15280,0
939,20231006409,15299,9
940,20231006418,15267,7
941,20231006417,15262,2
942,20231006416,15242,2
943,20231006415,15252,2
944,20231006404,15278,8
945,20231006403,15273,3
946,20231006402,15283,3
947,20231006401,15264,4
948,20231006400,15246,6
949,20231006399,15273,3
950,20231006408,15284,4
951,20231006407,15259,9
952,20231006406,15259,9
953,20231006405,15252,2
954,20231006394,15268,8
955,20231006393,15233,3
956,20231006392,15217,7
957,20231006391,15203,3
958,20231006390,15227,7
959,20231006389,15197,7
960,20231006398,15262,2
961,20231006397,15272,2
962,20231006396,15240,0
963,20231006395,15232,2
964,20231006394,15268,8
965,20231006393,15233,3
966,20231006392,15217,7
967,20231006391,15203,3
968,20231006390,15227,7
969,20231006379,15217,7
970,20231006388,15228,8
971,20231006387,15203,3
972,20231006386,15199,9
973,20231006385,15223,3
974,20231006374,15253,3
975,20231006373,15244,4
976,20231006372,15231,1
977,20231006371,15221,1
978,20231006370,15229,9
979,20231006369,15254,4
980,20231006378,15193,3
981,20231006377,15214,4
982,20231006376,15236,6
983,20231006375,15255,5
984,20231006374,15253,3
985,20231006373,15244,4
986,20231006372,15231,1
987,20231006371,15221,1
988,20231006370,15229,9
989,20231006369,15254,4
990,20231006368,15226,6
991,20231006367,15207,7
992,20231006366,15214,4
993,20231006365,15198,8
994,20231006364,15166,6
995,20231006353,15186,6
996,20231006352,15167,7
997,20231006351,15179,9
998,20231006350,15195,5
999,20231006349,15184,4
1000,20231006358,15141,1
1001,20231006357,15120,0
1002,20231006356,15130,0
1003,20231006355,15141,1
1004,20231006354,15163,3
1005,20231006353,15186,6
1006,20231006342,15172,2
1007,20231006341,15186,6
1008,20231006340,15166,6
1009,20231006339,15161,1
1010,20231006348,15219,9
1011,20231006347,15223,3
1012,20231006346,15206,6
1013,20231006345,15188,8
1014,20231006344,15167,7
1015,20231006343,15181,1
1016,20231006342,15172,2
1017,20231006341,15229,9
1018,20231006330,15255,5
1019,20231006329,15251,1
1020,20231006338,15189,9
1021,20231006337,15212,2
1022,20231006336,15217,7
1023,20231006335,15186,6
1024,20231006334,15184,4
1025,20231006333,15189,9
1026,20231006332,15219,9
1027,20231006331,15229,9
1028,20231006330,15216,6
1029,20231006319,15198,8
1030,20231006328,15273,3
1031,20231006327,15269,9
1032,20231006326,15239,9
1033,20231006325,15207,7
1034,20231006324,15180,0
1035,20231006323,15191,1
1036,20231006322,15152,2
1037,20231006311,15161,1
1038,20231006310,15162,2
1039,20231006309,15155,5
1040,20231006318,15226,6
1041,20231006317,15191,1
1042,20231006316,15171,1
1043,20231006315,15156,6
1044,20231006314,15168,8
1045,20231006303,15189,9
1046,20231006302,15207,7
1047,20231006301,15188,8
1048,20231006300,15202,2
1049,20231006299,15238,8
1050,20231006308,15147,7
1051,20231006307,15138,8
1052,20231006306,15162,2
1053,20231006305,15151,1
1054,20231006304,15170,0
1055,20231006303,15189,9
1056,20231006302,15179,9
1057,20231006291,15199,9
1058,20231006290,15187,7
1059,20231006289,15191,1
1060,20231006298,15203,3
1061,20231006297,15207,7
1062,20231006296,15178,8
1063,20231006295,15197,7
1064,20231006294,15183,3
1065,20231006293,15181,1
1066,20231006292,15179,9
1067,20231006291,15199,9
1068,20231006290,15187,7
1069,20231006289,15191,1
1070,20231006298,15203,3
1071,20231006297,15207,7
1072,20231006286,15166,6
1073,20231006285,15131,1
1074,20231006284,15117,7
1075,20231006273,15088,8
1076,20231006272,15059,9
1077,20231006271,15069,9
1078,20231006270,15099,9
1079,20231006269,15112,2
1080,20231006278,15163,3
1081,20231006277,15131,1
1082,20231006276,15138,8
1083,20231006275,15126,6
1084,20231006274,15048,8
1085,20231006263,15073,3
1086,20231006262,15046,6
1087,20231006261,15064,4
1088,20231006260,15054,4
1089,20231006259,15053,3
1090,20231006268,15085,5
1091,20231006267,15098,8
1092,20231006266,15064,4
1093,20231006265,15055,5
1094,20231006264,15048,8
1095,20231006263,15073,3
1096,20231006262,15046,6
1097,20231006261,15064,4
1098,20231006260,15007,7
1099,20231006249,14986,6
1100,20231006258,15053,3
1101,20231006257,15035,5
1102,20231006256,15023,3
1103,20231006255,15019,9
1104,20231006254,14983,3
1105,20231006253,14981,1
1106,20231006252,15014,4
1107,20231006251,14992,2
1108,20231006250,15007,7
1109,20231006249,14986,6
1110,20231006258,15053,3
1111,20231006257,15035,7
1112,20231006246,14976,6
1113,20231006245,15003,3
1114,20231006234,14994,4
1115,20231006233,14997,7
1116,20231006232,14969,9
1117,20231006231,14972,2
1118,20231006230,14953,3
1119,20231006229,14969,9
1120,20231006238,15004,4
1121,20231006237,15001,1
1122,20231006236,15003,3
1123,20231006235,15017,7
1124,20231006234,14994,2
1125,20231006223,14975,5
1126,20231006222,14986,6
1127,20231006221,14994,4
1128,20231006220,14989,9
1129,20231006219,14997,7
1130,20231006228,14973,3
1131,20231006227,14998,8
1132,20231006226,15007,7
1133,20231006225,14991,1
1134,20231006224,14913,3
1135,20231006213,14916,6
1136,20231006212,14911,1
1137,20231006211,14898,8
1138,20231006210,14908,8
1139,20231006209,14931,1
1140,20231006218,14982,2
1141,20231006217,14966,6
1142,20231006216,14931,1
1143,20231006215,14915,5
1144,20231006204,14949,9
1145,20231006203,14914,4
1146,20231006202,14916,6
1147,20231006201,14908,8
1148,20231006200,14925,5
1149,20231006199,14927,7
1150,20231006208,14929,9
1151,20231006207,14951,1
1152,20231006206,14933,3
1153,20231006205,14945,5
1154,20231006194,14891,1
1155,20231006193,14897,7
1156,20231006192,14885,5
1157,20231006191,14887,7
1158,20231006190,14857,7
1159,20231006189,14877,7
1160,20231006198,14898,8
1161,20231006197,14929,9
1162,20231006196,14891,1
1163,20231006195,14907,7
1164,20231006194,14852,2
1165,20231006183,14867,7
1166,20231006182,14848,8
1167,20231006181,14829,9
1168,20231006180,14829,9
1169,20231006179,14823,3
1170,20231006188,14845,5
1171,20231006187,14857,7
1172,20231006186,14849,9
1173,20231006185,14836,6
1174,20231006184,14878,8
1175,20231006173,14893,3
1176,20231006172,14871,1
1177,20231006171,14869,9
1178,20231006170,14876,6
1179,20231006169,14881,1
1180,20231006178,14847,7
1181,20231006177,14859,9
1182,20231006176,14858,8
1183,20231006175,14853,3
1184,20231006174,14878,8
1185,20231006173,14893,3
1186,20231006172,14902,2
1187,20231006161,14901,1
1188,20231006160,14912,2
1189,20231006159,14896,6
1190,20231006168,14883,3
1191,20231006167,14866,6
1192,20231006166,14863,3
1193,20231006165,14897,7
1194,20231006154,14894,4
1195,20231006153,14898,8
1196,20231006152,14863,3
1197,20231006151,14844,4
1198,20231006150,14831,1
1199,20231006149,14817,7
1200,20231006158,14862,2
1201,20231006157,14890,0
1202,20231006156,14900,0
1203,20231006155,14917,7
1204,20231006144,14764,4
1205,20231006143,14767,7
1206,20231006142,14773,3
1207,20231006141,14791,1
1208,20231006140,14791,1
1209,20231006139,14783,3
1210,20231006148,14781,1
1211,20231006147,14784,4
1212,20231006146,14803,3
1213,20231006145,14776,6
1214,20231006144,14764,4
1215,20231006143,14825,5
1216,20231006132,14819,9
1217,20231006131,14784,4
1218,20231006130,14799,9
1219,20231006129,14782,2
1220,20231006138,14784,4
1221,20231006137,14797,7
1222,20231006136,14804,4
1223,20231006135,14804,4
1224,20231006134,14801,1
1225,20231006133,14825,5
1226,20231006132,14819,9
1227,20231006131,14784,4
1228,20231006120,14727,7
1229,20231006119,14696,6
1230,20231006128,14774,4
1231,20231006127,14774,4
1232,20231006126,14778,8
1233,20231006125,14771,2
1234,20231006114,14676,6
1235,20231006113,14686,6
1236,20231006112,14663,3
1237,20231006111,14679,9
1238,20231006110,14656,6
1239,20231006109,14662,2
